authors,created,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Solutions Design bv,2015-04-10T13:10:55.533Z,"LLBLGen Pro is a leading ORM framework and entity modeling solution for .NET. This package contains the Dynamic Query Engine for Oracle using ODP.NET.
		
This package has an indirect dependency on Oracle's ODP.NET ADO.NET provider, and it has to be present on the system at runtime. It's not necessary to reference the ADO.NET provider directly in your project.",SD.LLBLGen.Pro.DQE.OracleODPNET,False,2018-03-29T13:03:13.047+00:00,True,False,This package contains the Dynamic Query Engine for Oracle using ODP.NET.,"LLBLGen,Pro,DQE,Dynamic,Query,Engine,Database,Data,Oracle,ODP.NET,O/RM,ADO.NET",14578,True,4.2.20150410
Anastasia Baranchenkova;,2015-03-26T04:56:10.157Z,"This library adds Application Insights support for Tx framework.

If you set up a continious integration feature in the Applocation Insights portal you will have a storage with exported data.

Using Application Insights Tx adaptor you can run any LINQ queries against this storage.

Currently 5 Application Insight types are supported: Requests, Traces, Events, Performace Counters and Exceptions.",Tx.AppInsights.Azure,False,1899-12-31T16:00:00-08:00,False,False,This library adds Application Insights support for Tx framework.,"Tx,AppInsights,ApplicationInsights,""Application,Insights""",-1,False,1.0.50330
Pascal Lauener,2015-04-10T19:57:45.087Z,A easy to use NHibernate implementation,Lauener.Core.Database,False,2016-09-30T00:25:50.317-07:00,True,False,,,17234,False,0.9.5.26
SPA Tools,2015-04-11T03:01:08.02Z,Knockout UI widgets to help Knockout app development,KoUI,False,2016-03-25T18:33:51.68-07:00,True,False,,"Knockout,UI,Binding,Handlers,Engine,TinyMCE,AMD",2688,False,0.2.4
Solutions Design bv,2015-04-10T13:10:21.437Z,"LLBLGen Pro is a leading ORM framework and entity modeling solution for .NET. This package contains the Dynamic Query Engine for Oracle using System.Data.OracleClient.
		
This package has an indirect dependency on Oracle's CLI client, and it has to be present on the system at runtime. It's not necessary to reference the ADO.NET provider directly in your project.",SD.LLBLGen.Pro.DQE.OracleMS,False,2018-03-29T13:02:59.2+00:00,True,False,This package contains the Dynamic Query Engine for Oracle using System.Data.OracleClient.,"LLBLGen,Pro,DQE,Dynamic,Query,Engine,Database,Data,Oracle,O/RM,ADO.NET",13330,True,4.2.20150410
CaptiveAire Systems,2015-04-11T02:47:03.95Z,Easily bridge the old with the new and shiny: Common Logging adapter for Serilog structured logging.,Common.Logging.Serilog,False,1900-01-01T00:00:00+00:00,False,False,,"serilog,common,logging,adapter,json,structured",35252,False,3.1.1
,,,TigerAPI,,,,True,,,,,1.0.0
FrankSorro,2015-04-10T10:50:06.287Z,ASP.NET Interface Library for SQL Server and MySQL,xRT,False,2016-02-12T14:45:47.71-08:00,True,False,,,69115,False,1.0.5578.21342
Dmitriy Martyscenko,2015-04-09T15:08:44.163Z,Tool for resolving umbraco`s packages.,uResolver,False,2015-04-10T07:19:56.627-07:00,True,False,,Umbraco,926,False,0.1.1
leMaik,2015-04-10T16:44:49.81Z,A tiny library that brings Minecraft heads to WPF.,leMaik.McHeads,False,2016-10-27T15:02:56.893+00:00,True,False,,"minecraft,heads,wpf",2386,False,1.0.0
David Braverman,2015-04-10T17:54:14.677Z,Contains classes and interfaces to speed your Web and Azure development,InnerDrive.Framework,False,2018-02-08T05:37:01.907+00:00,True,False,,,2629,False,3.1.5530
"Brock Allen,Dominick Baier",2015-04-11T00:52:04.67Z,"""IdentityManager - AspNetIdentity"" is a AspNetIdentity-based identity manager provider for IdentityManager.",IdentityManager.AspNetIdentity,True,2015-08-11T11:52:04.04-07:00,True,False,,"IdentityManager,AspNetIdentity,Identity,Management",79789,False,1.0.0-beta5
Napen,2014-07-07T01:01:38.36Z,Adds helpful Linq-Like extensions to .NET,NewLinq,False,2014-07-10T17:45:51.637-07:00,True,False,,"Linq,.NET",854,False,1.0.0
"Aleksander Sjafjell,Marius Løkketangen,Jan Gylta",2015-04-10T13:49:40.577Z,Klientbibliotek for sending av sikker digital post for offentlig sektor.,sikker-digital-post-net-klient,False,1899-12-31T16:00:00-08:00,False,False,,"Posten,SikkerDigitalPost,Sikker,Post,eBoks,Digipost,Difi",-1,False,1.2.5578.26671
Vitalii Fedorchenko,2015-04-10T15:54:53.18Z,PivotData: fast multidimensional data aggregation library (C#/.NET) for real-time in-memory cube/summary/pivot table calculation.,NReco.PivotData,False,2018-04-06T14:32:59.97+00:00,True,False,,"Pivot,Data,Cube,PivotTable,Crosstab,Multidimensional,Aggregation",13976,True,1.1.0
Aleksander Sjåfjell,2015-04-10T07:08:24.69Z,Enkelt bibliotek for vanlig brukte hjelpeklasser.,digipost-api-client-shared,False,1899-12-31T16:00:00-08:00,False,False,Apache License 2.0,"Digipost,Utility,Hjelp",-1,False,1.0.5578.14647
Victor Robinson,2015-04-10T19:09:28.193Z,Collection of simple pieces of reusable code designed such that dependencies aren't forced upon consumers of its packages. Package is shipped as source code.,Spritely.Recipes.SecureString,False,2017-10-14T00:16:37.02+00:00,True,False,ToSecureString and ToInsecureString recipes.,"Spritely,Recipes,SecureString",7096,False,0.1.2
,,,EventStore-Init-Migrator,,,,True,,,,,1.3.4889
inter8ection,2015-04-10T10:34:50.357Z,ProtoBuf serialization for Obvs,Obvs.Serialization.ProtoBuf,False,2017-11-06T16:07:29.23+00:00,True,False,,,3871,False,1.5.3
Oystein Bjorke,2015-04-10T17:25:20.307Z,OxyPlot is a plotting library for .NET. This package contains .pdf export extensions for .NET 4 (based on PDFsharp) and Silverlight (based on SilverPDF).,OxyPlot.Pdf,True,1900-01-01T00:00:00+00:00,False,False,,"pdf,plotting,plot,charting,chart",122084,False,2015.1.829-alpha
Talles L <talleslasmar@gmail.com>,2015-04-10T21:28:32.847Z,A .NET library that periodically cleans up a folder.,FolderCleaner,False,1899-12-31T16:00:00-08:00,False,False,,"folder,clean,cleanup,cleaner,temporary,files,directory",-1,False,1.0.1
Sergey Galuza,2015-04-10T06:24:22.29Z,Simple Meteor DDP Connector for .NET. It uses .NET built-in ClientWebsocket class for communication.,Meteor.DDP,False,2015-05-02T14:43:52.797-07:00,True,False,,"Meteor,DDP",1836,False,1.0.0
Leavitt Software Solutions,2015-04-10T17:52:29.923Z,Useful JavaScript Stuff,BASE,False,2017-05-09T12:57:56.34-07:00,True,False,,,52987,False,1.0.0.53
ronin4net,2015-04-10T20:43:08.04Z,Provides extensions to Prism to simplify development of software engineering tools,Plainion.Prism,False,2017-11-15T08:32:24.3+00:00,True,False,,,2143,False,1.2.0
Sayed Ibrahim Hashimi,2015-04-11T03:03:04.71Z,This is a NuGet package which contains a module that simplifies downloading NuGet packages.,nuget-powershell,True,2016-04-30T13:51:10.88-07:00,True,False,,"nuget,powershell",4200,False,0.0.1-beta8
"Mark J. Cox,Ralf S. Engelschall,Dr. Stephen Henson,Ben Laurie,Garrett Serack,Tim Rogers,Jan Tattermusch",2015-04-11T00:30:24.043Z,"Symbols for package 'grpc.experimentaldependencies.openssl'. This package should not likely be installed. 
(This is not the package you are looking for).",grpc.experimentaldependencies.openssl.symbols,False,1899-12-31T16:00:00-08:00,False,False,Symbols for for package 'grpc.experimentaldependencies.openssl',"openssl,native,CoApp,nativepackage",-1,False,1.0.2.1
Napen,2014-07-07T01:01:38.36Z,Adds helpful Linq-Like extensions to .NET,NewLinq,False,2014-07-10T17:45:51.637-07:00,True,False,,"Linq,.NET",854,False,1.0.0
