authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Brian Brewder,2011-11-21T00:51:56.267Z,2336,2342,"A set of utility classes to help with data type conversions, command-line parsing, web uploads/downloads, and many extension classes to simplify common programming tasks.",BizArkToolkit,False,2011-11-27T00:03:45.25-08:00,True,False,,"BizArk,Conversion,Tools,Web,WebRequest,command-line",3897,False,2.0.0
Brian Brewder,2011-11-21T03:45:56.243Z,2336,2342,"A set of utility classes to help with data type conversions, command-line parsing, web uploads/downloads, and many extension classes to simplify common programming tasks. See the BizArk project page (http://bizark.codeplex.com) for more information.",BizArkToolkit,False,2011-11-27T00:03:45.25-08:00,True,False,"A set of utility classes to help with data type conversions, command-line parsing, web uploads/downloads, and many extension classes to simplify common programming tasks.","BizArk,Conversion,Tools,Web,WebRequest,command-line,extensions",3897,False,2.0.1
Patrick Gidich,2011-11-21T07:36:24.647Z,2163,2342,Get started with Facebook Development quickly with FaceSharp!,FaceSharp,False,2012-05-18T11:23:23.093-07:00,True,False,"Join the .NET Movement in Facebook Apps
- Liberal MIT Licensing. Fully customize your code.",Facebook,9140,False,3.0.1
Roman Kuzmin,2011-11-21T07:33:57.5Z,9,2342,"Invoke-Build.ps1 (engine) and Invoke-Builds.ps1 (parallel engine) are build and
test automation tools implemented as PowerShell scripts. They invoke tasks from
scripts written in PowerShell with domain-specific language. Build flow and
concepts are similar to MSBuild. Scripts are similar to psake but look more
like usual due to standard script parameters and script scope variables.",Invoke-Build,False,2018-04-11T18:20:54.31+00:00,True,False,"Invoke-Build.ps1 (engine) and Invoke-Builds.ps1 (parallel engine) are build and
test automation tools implemented as PowerShell scripts. They invoke tasks from
scripts written in PowerShell with domain-specific language. Build flow and
concepts are similar to MSBuild. Scripts are similar to psake but look more
like usual due to standard script parameters and script scope variables.","powershell,build,automation,testing",72039,False,1.2.0
Jacob Reimers,2011-11-21T06:20:21.35Z,1377,2342,Parses OData system query parameters to create a LINQ query that can be used to filter a model set. Also exposes a LINQ provider for web services supporting the OData query parameters.,Linq2Rest,False,2014-07-13T03:49:10.4-07:00,True,False,,"OData,LINQ,REST",51313,False,0.7.1
martinc,2011-11-21T01:52:26.04Z,654,2342,"ManagedEsent provides managed access to ESENT, the embeddable
      database engine native to Windows. ManagedEsent uses the esent.dll that is
      part of Microsoft Windows so there are no extra unmanaged binaries to
      download and install.",ManagedEsent,False,2016-07-05T16:29:00.753-07:00,True,False,,"ManagedEsent,NoSql,ISAM",622892,False,1.6.0
v-sravg,2011-11-21T07:01:07.26Z,2342,2342,My package description.,MysamplePackage,False,2011-11-21T00:33:11.69-08:00,True,False,,,1411,False,1.0.0
v-sravg,2011-11-21T08:31:24.837Z,2342,2342,My package description.,MysamplePackage,False,2011-11-21T00:33:11.69-08:00,True,False,,,1411,False,2.0.0
"Udi Dahan,Andreas Ohlund,Matt Burton,Jonathan Oliver et al",2011-11-21T08:20:03.827Z,43209,2342,The most popular open-source service bus for .net,NServiceBus-CI,False,1899-12-31T16:00:00-08:00,False,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.1763
"Udi Dahan,Andreas Ohlund,Matt Burton,Jonathan Oliver et al",2011-11-21T08:23:27.537Z,43209,2342,The Autofac Container for the nservicebus,NServiceBus.Autofac-CI,False,1899-12-31T16:00:00-08:00,False,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.1763
